Ailes de raie et crème aux câpres;600
Aubergines farcies aux poivrons et bœuf;2100
Avocats Sainte-Marguerite;1800
Bavette à l'echalotte;300
Blanquette de poisson;600
Blanquette de saumon aux herbes;900
Blanquette de veaux;2100
Boulette pâte et bourrata;1200
Briques de poulet rôti épicé féta;1200
Brochette de poulet sauce satay;1200
Cake au saumon fumé et citron;900
Calamars à la tomate et au basilic;300
Poisson pané;300
Poisson pané maison;900
Poisson bordelaise;300
Calamars simple;300
Croque-monsieur;300
Carotte vichy;600
Carotte à la crème;600
Carpaccio de bœuf;300
Carpaccio de saumon;1800
Cordon bleu;300
Cotelette d'agneau chimichurri ;900
Côtelette de porc sauce moutarde;300
Courgettes farcies au bœuf;1200
Courgettes farcies au thon;1200
Couscous;600
Crepinette de porc mojotées aux champignons;600
Crevette aux curry;300
Croque-madame;300
Crottins de chavignol au lard;300
Curry japonnais de légume;900
Feuilleté de jambon;900
Feuilleté aux champignons;900
Feuilleté aux crevettes;900
Feuilleté aux saumon;900
Filet mignon au jambon;900
Filet de poulet à la crème de poivron;900
Filet de poulet à la moutarde;300
Filet de truite sauce aux noix et framboises;600
Filet de poulet curry et oignons;300
Flanc de thon à la provencal;1200
Gaspacho;600
Grattin de macaroni croustillant;900
Grattin dauohinois;1800
Gratin de courgette au bœuf;3600
Gratin de poisson;600
Gratin de raviole;600
Gratin provençal au lard;1200
Gratin de pate au jambon;600
Gratin de pate au saumon fumé;600
Guacamole;600
Hachi parmentier de canard;2700
Hachi parmentier;2700
Hamburger;600
Houmous;600
Jambon à la bourguignonne;600
Katsudon;1200
Lapin aux olives;900
Lasagnes à la bolognaise;1200
Mijoté de veaux aux épices;1200
Mont d'or chaud;300
Mousse de poireaix aux jambon cru;1500
Nems de poulet et legumes;300
Œufs mimosa;900
Œufs a l'espagnole;300
One pot pasta;300
Omelette aux pommes de terre;900
Omelette aux croutons;600
Pad thai;900
Pain bagnat;600
Pain de viande;600
Pate à crepe;900
Pates carbonara;600
Pates fraiches au saumon et bouillon crémeux;600
pates bolognaises;900
Pates au perso;300
Paupiette de veaux aux oignons et tomates;2700
Petit pois à la française et saucisses;900
Petit pois au curry et yaourt acidulée;600
Pilon de poulet au lard;1200
pizza maison;900
Poisson en papillote beurre acidulé;900
Poisson mariné aux agrumes (carpaccio);1500
Poulet basquaise crème de chorizi;1500
Poule grillé aux épices - maïs coco citron;1200
Poulet au vinaigre;600
Poulet aux olives vertes et lardon;900
Poulet curry et oignon;300
Purée de pomme de terre;600
Purrée de pomme de terre et carotte;600
Purée de patate souce;600
Quiche lorraine;300
Famenkush;300
Quiche au saumon et poreau;1200
Ramen;900
Ratatouille au cumin;1200
Rillettes de saumons;900
Risotto à la tomate thon et olives;1800
Risotto aux asperges et orange, saumon mariné;2100
Risotto;1800
Riz cantonnais au jambon;900
Riz pilaf et saucisse;300
Rosbeef au four (Roti);300
Roulés de saumon et saucisses;600
Salade de bœuf mariné;900
Salade césar;900
Salade de chèvre chaud;600
Poulet roti;300
Salade de pate pesto rosso;600
Salade de concombre;300
Salade de lentilles au saumon fumé;2100
Salade de pate méditeraneenne;900
Salade hollandaise;2100
Salade piemontaise;2100
Sandwish-roll mayo curry;300
Saucisse de morteau et gratin dauphinois;1800
Saucisses mijotées aux oignons;600
Saucisson a cuire au vin rouge;600
Saumon croustillant riz a la mangue;900
Saumon sauce thai;900
Saumon à l'échalote;600
Soufflé au fromage;900
Soupe de chataigne au foie gras;1200
Steak tartare;1200
Tartare de tomate;1200
Tartare de saumon;1800
Tarte a l'oignon;900
Tarte au thon;900
Tarte aux rillettes de saumon;900
Tartiflette;1800
Croziflette;1800
Tomates farcie;900
Toasts;900
